tstart,tend,fstart,fend,newnote
0,0.4,880,880,1
0.4,0.8,987.77,987.77,1
0.8,1.17,987.77,987.77,1
1.17,1.2,987.77,1174.66,0
1.2,1.6,1174.66,1174.66,0
1.6,1.97,1046.5,1046.5,1
1.97,2,1046.5,1046.5,0
2,2.4,1046.5,1046.5,0
2.4,2.77,987.77,987.77,1
2.77,2.8,987.77,880,0
2.8,3.2,880,880,0
3.2,3.57,783.99,783.99,1
3.57,3.6,783.99,739.99,0
3.6,3.67,739.99,783.99,0
3.67,3.7,783.99,783.99,0
3.7,4,783.99,783.99,0
4,4.1,783.99,880,1
4.1,4.37,880,880,1
4.37,4.4,880,880,0
4.4,4.77,880,880,0
4.77,4.8,880,880,0
4.8,5.17,880,880,0
5.17,5.2,880,880,0
5.2,5.57,880,880,0
5.57,5.6,880,880,0
5.6,5.97,880,880,0
5.97,6,880,880,0
6,6.37,880,880,0
6.37,6.4,880,659.26,0
6.4,6.77,659.26,659.26,0
6.77,6.8,659.26,698.46,0
6.8,7.2,698.46,698.46,0
7.2,7.3,987.77,880,1
7.3,7.57,880,880,1
7.57,7.6,880,880,0
7.6,7.97,880,880,0
7.97,8,880,880,0
8,8.37,880,880,0
8.37,8.4,880,880,0
8.4,8.77,880,880,0
8.77,8.8,880,880,0
8.8,9.17,880,880,0
9.17,9.2,880,932.33,0
9.2,9.6,932.33,932.33,0
9.6,9.7,932.33,880,1
9.7,10,880,880,1
10,10.4,783.99,783.99,1
10.4,10.77,783.99,783.99,1
10.77,10.8,783.99,739.99,0
10.8,11.2,739.99,739.99,0
11.2,11.57,783.99,783.99,1
11.57,11.6,783.99,739.99,0
11.6,11.77,739.99,739.99,0
11.77,11.8,739.99,880,0
11.8,12,880,880,0
12,12.17,783.99,783.99,1
12.17,12.2,783.99,880,0
12.2,12.37,880,880,0
12.37,12.4,880,783.99,0
12.4,12.77,783.99,783.99,0
12.77,12.8,783.99,783.99,0
12.8,13.17,783.99,783.99,0
13.17,13.2,783.99,783.99,0
13.2,13.57,783.99,783.99,0
13.57,13.6,783.99,783.99,0
13.6,13.97,783.99,783.99,0
13.97,14,783.99,587.33,0
14,14.4,587.33,587.33,0
14.4,14.8,587.33,587.33,1
14.8,15.2,659.26,659.26,1
15.2,15.3,659.26,698.46,1
15.3,15.57,698.46,698.46,1
15.57,15.6,698.46,659.26,0
15.6,15.77,659.26,659.26,0
15.77,15.8,659.26,783.99,0
15.8,16,783.99,783.99,0
16,16.37,698.46,698.46,1
16.37,16.4,698.46,698.46,0
16.4,16.77,698.46,698.46,0
16.77,16.8,698.46,698.46,0
16.8,17.17,698.46,698.46,0
17.17,17.2,698.46,659.26,0
17.2,17.6,659.26,659.26,0
17.6,17.7,659.26,587.33,1
17.7,17.97,587.33,587.33,1
17.97,18,587.33,659.26,0
18,18.4,659.26,659.26,0
18.4,18.77,698.46,698.46,1
