"id","name","year","porjaay","section","number","raag","taal","swaralipikar"
00001,"কান্নাহাসির-দোল-দোলানো পৌষ-ফাগুনের পালা",1918,পূজা,আশ্বাস,1,কালাংড়া-বাউল,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00002,"সুরের গুরু, দাও গো সুরের দীক্ষা",1931,পূজা,গান,2,কাফি-কানাড়া,দাদরা,অনাদিকুমার দস্তিদার
00003,"নিশীথশয়নে ভেবে রাখি মনে, ওগো অন্তরযামী",1901,পূজা,সাধনা ও সংকল্প,178,বাগেশ্রী-বাহার,তেওরা,কাঙালীচরণ সেন
00004,"আমারে তুমি অশেষ করেছ এমনি লীলা তব",1912,পূজা,বন্ধু,54,ছায়ানট,ঝম্পক,দিনেন্দ্রনাথ ঠাকুর; ভীমরাও শাস্ত্রী
00005,"জাগ' জাগ' রে জাগ' সঙ্গীত",1909,পূজা,গান,21,দেশ,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00006,"আমার না-বলা বাণীর ঘন যামিনীর মাঝে",1928,পূজা,বন্ধু,56,কীর্তন,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00007,"আলোকের এই ঝর্নাধারায় ধুইয়ে দাও",1915,পূজা,প্রার্থনা,92,ভৈরবী,দাদরা,অনুল্লিখিত; দিনেন্দ্রনাথ ঠাকুর
00008,"দাঁড়াও আমার আঁখির আগে",1904,পূজা,প্রার্থনা,101,বেহাগ,তেওরা,কাঙালীচরণ সেন
00009,"আমি তোমায় যত শুনিয়েছিলেম গান",1918,পূজা,গান,5,খাম্বাজ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00011,"প্রভু আমার, প্রিয় আমার পরম ধন হে",1910,পূজা,বন্ধু,68,কেদারা,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00012,"তোমারি ঝরনাতলার নির্জনে",1918,পূজা,গান,15,কেদারা-ছায়ানট,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00013,"তোমার দ্বারে কেন আসি ভুলেই যে যাই",1918,পূজা,আশ্বাস,243,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00014,"তোমায় নতুন করে পাব বলে হারাই ক্ষণে-ক্ষণ",1915,পূজা,বন্ধু,45,খাম্বাজ,কাহারবা (বা মুক্তছন্দ),ইন্দিরা দেবী
00015,"প্রভু, তোমা লাগি আঁখি জাগে",1909,পূজা,বিরহ,138,বেহাগ,কাওয়ালি,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00016,"তুমি কেমন করে গান করো হে গুণী",1909,পূজা,গান,4,খাম্বাজ,কাহারবা,ভীমরাও শাস্ত্রী; এ এ বাকে; ভীমরাও শাস্ত্রী
00017,"বিশ্ব যখন নিদ্রামগন গগন অন্ধকার",1910,পূজা,বিরহ,136,বেহাগ,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00018,"জীবন যখন শুকায়ে যায় করুণাধারায় এসো",1910,পূজা,প্রার্থনা,95,দেশ,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00019,"যা হারিয়ে যায় তা আগলে ব'সে রইব কত আর",1909,পূজা,দুঃখ,239,মিশ্র ঝিঁঝিট,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00020,"নিভৃত প্রাণের দেবতা যেখানে জাগেন একা",1910,পূজা,সাধক,300,পূরবী,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00021,"প্রভু, বলো বলো কবে",1936,পূজা,বন্ধু,55,ভৈরবী,দাদরা,শৈলজারঞ্জন মজুমদার
00022,"এমন দিনে তারে বলা যায়",1889,প্রেম,প্রেমবৈচিত্র্য,248,দেশ,রূপক,ইন্দিরা দেবী; জ্যোতিরিন্দ্রনাথ ঠাকুর; দিনেন্দ্রনাথ ঠাকুর
00024,"পুরানো সেই দিনের কথা",1885,প্রেম ও প্রকৃতি,রবিচ্ছায়া,34,মিশ্র ভূপালী,একতাল,জ্যোতিরিন্দ্রনাথ ঠাকুর
00026,"একটুকু ছোঁওয়া লাগে",1928,প্রকৃতি,বসন্ত,198,কালাংড়া,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00027,"এ পথে আমি-যে গেছি বার বার",1926,প্রেম,প্রেমবৈচিত্র্য,276,বেহাগ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00029,"অরূপ, তোমার বাণী",1926,পূজা,গান,9,ছায়ানট,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00030,"তুমি আমায় ডেকেছিলে ছুটির নিমন্ত্রণে",1927,প্রেম,প্রেমবৈচিত্র্য,288,ভীমপলশ্রী-মুলতান,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00031,"সবার সাথে চলতেছিল অজানা এই পথের অন্ধকারে",1918,প্রেম,প্রেমবৈচিত্র্য,30,পিলু,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00032,"আনন্দলোকে মঙ্গলালোকে, সত্যসুন্দর",1892,পূজা,বিবিধ,476,ঝিঁঝিট,একতাল,কাঙালীচরণ সেন
00034,"তোমার কথা হেথা কেহ তো বলে না, করে শুধু মিছে কোলাহল।",1886,পূজা,বিবিধ,395,ইমন-ভূপালী,একতাল,কাঙালীচরণ সেন
00035,"মোর বীণা ওঠে কোন্‌ সুরে বাজি",1919,প্রকৃতি,বসন্ত,206,ভৈরবী,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00036,"পথে চলে যেতে যেতে কোথা কোন্‌খানে",1928,পূজা,পথ,572,বেহাগ,অর্ধঝাঁপ,দিনেন্দ্রনাথ ঠাকুর
00038,"ওহে সুন্দর, মম গৃহে আজি পরমোৎসব রাতি",1895,প্রেম,প্রেমবৈচিত্র্য,187,মিশ্র খাম্বাজ,দাদরা,ইন্দিরা দেবী
00040,"তোমার সুরের ধারা ঝরে যেথায় তারি পারে",1922,পূজা,গান,3,বাউল,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00041,"তুমি যে সুরের আগুন লাগিয়ে দিলে মোর প্রাণে",1914,পূজা,গান,6,বাউল,দাদরা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00042,"তোমার বীণা আমার মনোমাঝে",1926,পূজা,গান,7,আশাবরী-ভৈরবী,ঝম্পক,দিনেন্দ্রনাথ ঠাকুর
00043,"তোমার নয়ন আমায় বারে বারে বলেছে গান গাহিবারে॥",1915,পূজা,গান,8,তিলক কামোদ,খেমটা/ষষ্ঠী,দিনেন্দ্রনাথ ঠাকুর
00044,"গানে গানে তব বন্ধন যাক টুটে",1926,পূজা,গান,10,আশাবরী-ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00045,"আমার সুরে লাগে তোমার হাসি",1921,পূজা,গান,11,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00046,"আমার বেলা যে যায় সাঁঝ বেলাতে",1919,পূজা,গান,12,খাম্বাজ,দাদরা/খেম্টা,দিনেন্দ্রনাথ ঠাকুর
00047,"জীবনমরণের সীমানা ছাড়ায়ে",1919,পূজা,গান,13,বেহাগ,রূপকড়া,দিনেন্দ্রনাথ ঠাকুর
00048,"যারা কথা দিয়ে তোমার কথা বলে",1918,পূজা,গান,14,খাম্বাজ,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00049,"কূল থেকে মোর গানের তরী দিলেম খুলে",1914,পূজা,গান,16,বেহাগ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00050,"তোমার কাছে এ বর মাগি, মরণ হতে যেন জাগি",1914,পূজা,গান,17,ভৈরবী,দাদরা,সুধীরচন্দ্র কর
00051,"কেন তোমরা আমায় ডাকো, আমার মন না মানে।",1914,পূজা,গান,18,হাম্বীর,কাহারবা,অনুল্লিখিত; দিনেন্দ্রনাথ ঠাকুর
00052,"দাঁড়িয়ে আছ তুমি আমার গানের ওপারে",1914,পূজা,গান,19,ইমন,ত্রিতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00053,"রাজপুরীতে বাজায় বাঁশি বেলাশেষের তান।",1914,পূজা,গান,20,পিলু,ত্রিতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00054,"হেথা যে গান গাইতে আসা, আমার হয় নি সে গান গাওয়া",1909,পূজা,গান,22,বেহাগ,কাহারবা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00055,"আমি হেথায় থাকি শুধু গাইতে তোমার গান",1909,পূজা,গান,23,পরজ,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00056,"গানের সুরের আসনখানি পাতি পথের ধারে।",1916,পূজা,গান,24,কেদারা-ছায়ানট,কাহারবা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00057,"সুর ভুলে যেই ঘুরে বেড়াই কেবল কাজে",1918,পূজা,গান,25,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00058,"গানের ভিতর দিয়ে যখন দেখি ভুবনখানি",1918,পূজা,গান,26,খাম্বাজ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00059,"খেলার ছলে সাজিয়ে আমার গানের বাণী",1921,পূজা,গান,27,পরজ,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00060,"যতখন তুমি আমায় বসিয়ে রাখ বাহির-বাটে",1923,পূজা,গান,28,কীর্তন,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00061,"আমার যে গান তোমার পরশ পাবে",1925,পূজা,গান,29,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00062,"গানের ঝরনাতলায় তুমি সাঁঝের বেলায় এলে।",1924,পূজা,গান,30,খাম্বাজ-বাউল,দাদরা,অনাদিকুমার দস্তিদার
00063,"কণ্ঠে নিলেম গান, আমার শেষ পারানির কড়ি--",1924,পূজা,গান,31,খাম্বাজ-বাউল,কাহারবা,অনাদিকুমার দস্তিদার
00064,"আমার ঢালা গানের ধারা সেই তো তুমি পিয়েছিলে",1925,পূজা,গান,32,পিলু,ষষ্ঠী,দিনেন্দ্রনাথ ঠাকুর
00065,"কবে আমি বাহির হলেম তোমারি গান গেয়ে--",1910,পূজা,বন্ধু,33,ইমন‌কল্যাণ‌,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00066,"তোমায় আমায় মিলন হবে ব'লে আলোয় আকাশ ভরা।",1913,পূজা,বন্ধু,34,কীর্তন,একতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00067,"প্রভু, তোমার বীণা যেমনি বাজে",1913,পূজা,বন্ধু,35,কানাড়া,তেওরা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00068,"তুমি একলা ঘরে ব'সে ব'সে কী সুর বাজালে",1918,পূজা,বন্ধু,36,মিশ্র কেদারা,ত্রিতাল,দিনেন্দ্রনাথ ঠাকুর
00069,"শুধু তোমার বাণী নয় গো, হে বন্ধু, হে প্রিয়",1914,পূজা,বন্ধু,37,সাহানা,ঝাঁপতাল (বা মুক্তছন্দ),দিনেন্দ্রনাথ ঠাকুর; ইন্দিরা দেবী ও দিনেন্দ্রনাথ ঠাকুর
00070,"তোমার সুর শুনায়ে যে ঘুম ভাঙাও সে ঘুম আমার রমণীয়--",1927,পূজা,বন্ধু,38,আশাবরী-ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00071,"মোর হৃদয়ের গোপন বিজন ঘরে",1914,পূজা,বন্ধু,39,বেহাগ,দাদরা,ইন্দিরা দেবী
00072,"মোর প্রভাতের এই প্রথম খনের কুসুমখানি",1914,পূজা,বন্ধু,40,রামকেলি,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00073,"মালা হতে খসে-পড়া ফুলের একটি দল",1914,পূজা,বন্ধু,41,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00074,"এত আলো জ্বালিয়েছ এই গগনে",1914,পূজা,বন্ধু,42,ভৈরবী-বাউল,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00075,"কার হাতে এই মালা তোমার পাঠালে",1914,পূজা,বন্ধু,43,ভৈরব,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00076,"বল তো এইবারের মতো",1914,পূজা,বন্ধু,44,ইমন,কাহারবা,অনাদিকুমার দস্তিদার
00078,"ধীরে বন্ধু, ধীরে ধীরে",1915,পূজা,বন্ধু,46,পিলু,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00079,"এবার আমায় ডাকলে দূরে",1914,পূজা,বন্ধু,47,ইমন,দাদরা,অনাদিকুমার দস্তিদার
00080,"দুঃখের বরষায় চক্ষের জল যেই নামল",1914,পূজা,বন্ধু,48,ভৈরবী,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00081,"সে দিনে আপদ আমার যাবে কেটে",1914,পূজা,বন্ধু,49,বাউল,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00082,"আমার হিয়ার মাঝে লুকিয়ে ছিলে দেখতে আমি পাই নি।",1914,পূজা,বন্ধু,50,পিলু,একতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00083,"কেন চোখের জলে ভিজিয়ে দিলেম না শুকনো ধুলো যত",1914,পূজা,বন্ধু,51,পিলু-ভীমপলশ্রী,দাদরা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00084,"আমায় বাঁধবে যদি কাজের ডোরে",1914,পূজা,বন্ধু,52,দেশ-বাউল,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00085,"ওদের সাথে মেলাও যারা চরায় তোমার ধেনু",1914,পূজা,বন্ধু,53,ভৈরবী-বাউল,কাহারবা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00086,"আমার হৃদয় তোমার আপন হাতের দোলে দোলাও",1921,পূজা,বন্ধু,57,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00087,"ভেঙে মোর ঘরের চাবি নিয়ে যাবি কে আমারে",1918,পূজা,বন্ধু,58,বাউল,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00088,"তোমায় কিছু দেব ব'লে চায় যে আমার মন",1918,পূজা,বন্ধু,59,ভৈরবী,ত্রিতাল,দিনেন্দ্রনাথ ঠাকুর
00089,"আমার অভিমানের বদলে আজ নেব তোমার মালা।",1921,পূজা,বন্ধু,60,পিলু,দাদরা,অনাদিকুমার দস্তিদার
00090,"তুমি খুশি থাক আমার পানে চেয়ে চেয়ে",1925,পূজা,বন্ধু,61,বাউল,দাদরা,অনাদিকুমার দস্তিদার
00091,"আমার সকল রসের ধারা",1914,পূজা,বন্ধু,62,ইমন,ত্রিতাল,দিনেন্দ্রনাথ ঠাকুর
00092,"রাত্রি এসে যেথায় মেশে দিনের পারাবারে",1910,পূজা,বন্ধু,63,ভৈরব,ত্রিতাল বা একতাল,দিনেন্দ্রনাথ ঠাকুর; সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00093,"আমার খেলা যখন ছিল তোমার সনে",1910,পূজা,বন্ধু,64,সাহানা,দাদরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00094,"সীমার মাঝে, অসীম, তুমি বাজাও আপন সুর--",1910,পূজা,বন্ধু,65,ছায়ানট,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00095,"আজি যত তারা তব আকাশে",1904,পূজা,বন্ধু,66,খাম্বাজ,ত্রিতাল,কাঙালীচরণ সেন
00096,"আমি কেমন করিয়া জানাব আমার জুড়ালো হৃদয় জুড়ালো--",1906,পূজা,বন্ধু,67,আশাবরী-ভৈরবী,একতাল,অনুল্লিখিত; কাঙালীচরণ সেন
00097,"তুমি বন্ধু, তুমি নাথ, নিশিদিন তুমি আমার।",1887,পূজা,বন্ধু,69,পিলু,একতাল,কাঙালীচরণ সেন
00098,"ও অকূলের কূল, ও অগতির গতি",1911,পূজা,বন্ধু,70,ভৈরবী,একতাল,অনাদিকুমার দস্তিদার
00099,"আমার মাঝে তোমারি মায়া জাগালে তুমি কবি।",1930,পূজা,বন্ধু,71,ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00100,"ভুলে যাই থেকে থেকে",1922,পূজা,বন্ধু,72,বাউল,দাদরা,অনাদিকুমার দস্তিদার
00101,"তোমার এই মাধুরী ছাপিয়ে আকাশ ঝরবে",1914,পূজা,বন্ধু,73,বেহাগ,একতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00102,"এরে ভিখারি সাজায়ে কী রঙ্গ তুমি করিলে",1914,পূজা,বন্ধু,74,পিলু-বারোয়াঁ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00103,"আপনাকে এই জানা আমার ফুরাবে না।",1914,পূজা,বন্ধু,75,ভৈরবী-বাউল,দাদরা,অনাদিকুমার দস্তিদার
00104,"তুমি যে এসেছ মোর ভবনে রব উঠেছে ভুবনে॥",1914,পূজা,বন্ধু,76,বাহার-ভৈরব,দাদরা,অনাদিকুমার দস্তিদার
00105,"তুমি যে চেয়ে আছ আকাশ ভ'রে",1914,পূজা,বন্ধু,77,সাহানা,দাদরা,অনাদিকুমার দস্তিদার
00106,"আমার বাণী আমার প্রাণে লাগে--",1914,পূজা,বন্ধু,78,সুর অজ্ঞাত,NA,অনাদিকুমার দস্তিদার
00107,"অসীম ধন তো আছে তোমার, তাহে সাধ না মেটে।",1913,পূজা,বন্ধু,79,খাম্বাজ,একতাল,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00108,"যদি আমায় তুমি বাঁচাও, তবে",1910,পূজা,বন্ধু,80,কালাংড়া-ভৈরবী,দাদরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00109,"যিনি সকল কাজের কাজী মোরা তাঁরি কাজের সঙ্গী।",1911,পূজা,বন্ধু,81,বেহাগ-বাউল,দাদরা,অনাদিকুমার দস্তিদার
00110,"আমরা তারেই জানি, তারেই জানি সাথের সাথি",1911,পূজা,বন্ধু,82,খাম্বাজ,দাদরা,সুধীরচন্দ্র কর
00111,"যা হবার তা হবে।",1911,পূজা,বন্ধু,83,খাম্বাজ,কাহারবা,সুধীরচন্দ্র কর
00112,"অন্ধকারের মাঝে আমায় ধরেছ দুই হাতে।",1910,পূজা,বন্ধু,84,সুর অজ্ঞাত,NA,সুধীরচন্দ্র কর
00113,"হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ",1910,পূজা,বন্ধু,85,ইমন‌কল্যাণ‌,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00114,"শুধু কি তার বেঁধেই তোর কাজ ফুরাবে",1922,পূজা,বন্ধু,86,সুর অজ্ঞাত,NA,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00115,"আমারে তুমি কিসের ছলে পাঠাবে দূরে",1910,পূজা,বন্ধু,87,সুর অজ্ঞাত,NA,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00116,"সভায় তোমার থাকি সবার শাসনে",1914,পূজা,বন্ধু,88,কাফি,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00117,"তোমার প্রেমে ধন্য কর যারে সত্য ক'রে পায় সে আপনারে॥",1928,পূজা,বন্ধু,89,বৃন্দাবনী সারং,তেওরা,দিনেন্দ্রনাথ ঠাকুর
00118,"লুকিয়ে আস আঁধার রাতে, তুমি আমার বন্ধু",1913,পূজা,বন্ধু,90,পিলু,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00119,"তুমি কি এসেছ মোর দ্বারে",1926,পূজা,বন্ধু,91,রামকেলি,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00121,"এ অন্ধকার ডুবাও তোমার অতল অন্ধকারে",1910,পূজা,প্রার্থনা,93,সুর অজ্ঞাত,NA,দিনেন্দ্রনাথ ঠাকুর
