"id","name","taal","abartan","tableWidth"
"00001","কান্নাহাসির-দোল-দোলানো","দাদরা","১",17
"00002","সুরের গুরু, দাও গো সুরের দীক্ষা","দাদরা","১",19
"00003","নিশীথশয়নে ভেবে রাখি মনে,","তেওড়া","১",23
"00004","আমারে তুমি অশেষ করেছ","ঝম্পক","২",15
"00005","জাগ' জাগ' রে জাগ' সঙ্গীত","দাদরা","২",21
"00006","আমার না-বলা বাণীর ঘন যামিনীর মাঝে","দাদরা","১",17
"00007","আলোকের এই ঝর্নাধারায়","দাদরা","১",17
"00009","আমি তোমায় যত শুনিয়ে ছিলাম গান","দাদরা","১",22
"00011","প্রভু আমার, প্রিয় আমার পরম ধন হে","দাদরা","১",17
"00012","তোমারি ঝরনাতলার নির্জনে","দাদরা","২",17
"00013","তোমার দ্বারে কেন আসি","দাদরা","২",17
"00014","তোমায় নতুন করে পাব ব'লে","কাহারবা","২",26
"00015","প্রভু তোমা লাগি আঁখি জাগে;","কাওয়ালি(৪/৪/৪/৪)","১",21
"00016","তুমি কেমন করে গান করো হে গুণী,","কাহারবা","২",21
"00017","বিশ্ব যখন নিদ্রামগন, গগন অন্ধকার,","দাদরা","১",17
"00018","জীবন যখন শুকায়ে যায় করুণাধারায় এসো","দাদরা","১",17
"00019","যা হারিয়ে যায় তা আগলে ব'সে রইব কত আর?","দাদরা","১",21
"00020","নিভৃত প্রাণের দেবতা","দাদরা","১",17
"00021","প্রভু বলো বলো কবে","দাদরা","২",17
"00022","এমন দিনে তারে বলা যায়","তালমুক্ত","১",21
"00024","পুরানো সেই দিনের কথা","একতালা","১",17
"00026","একটুকু ছোঁওয়া লাগে","অখন্ড ৬ মাত্রা","২",18
"00027","এ পথে আমি-যে গেছি","দাদরা","২",17
"00029","অরুপ,তোমার বাণী","দাদরা","২",18
"00030","তুমি আমায় ডেকেছিলে ছুটির নিমন্ত্রনে","দাদরা","২",20
"00031","সবার সাথে চলতেছিল","দাদরা","১",17
"00032","আনন্দলোকে মঙ্গলালোকে","একতালা","১",17
"00034","তোমার কথা হেথা কেহ তো বলে না","একতালা","১",21
"00035","মোর বীণা ওঠে কোন্","কাহারবা","২",26
"00036","পথে চলে যেতে যেতে","অর্দ্ধঝাঁপ","২",15
"00038","ওহে সুন্দর, মম গৃহে আজি","দাদরা","১",21
"00040","তোমর সুরের ধারা ঝরে যেথায় তারি পারে","দাদরা","১",17
"00041","তুমি যে সুরের আগুন লাগিয়ে দিলে","দাদরা","২",25
"00042","তোমার বীণা আমার মনোমাঝে","ঝম্পক","২",15
"00043","তোমার নয়ন আমায় বারে বারে","দাদরা","২",17
"00044","গানে গানে তব বন্ধন যাক টুটে","দাদরা","২",20
"00045","আমার সুরে লাগে তোমার হাসি","দাদরা","১",21
"00046","আমার বেলা যে যায় সাঁঝ-বেলাতে","দাদরা","২",21
"00047","জীবনমরণের সীমানা ছাড়ায়ে","দাদরা","২",23
"00048","যারা  কথা দিয়ে তোমার কথা বলে","কাহারবা","২",29
"00049","কূল থেকে মোর গানের তরী","দাদরা","২",17
"00050","তোমার কাছে এ বর মাগি","দাদরা","২",17
"00051","কেন তোমরা আমায় ডাকো","দাদরা","২",21
"00052","দাড়িঁয়ে আছ তুমি আমার গানের ও পারে","দাদরা","১",21
"00053","রাজপুরীতে বাজায় বাঁশি","তিনতালা","১",21
"00054","হেথা যে গান গাইতে আসা,","কাহারবা","২",26
"00055","আমি হেথায় থাকি শুধু গাইতে তোমার গান","তেওড়া","২",21
"00056","গানের সুরের আসনখানি","কাহারবা","১",21
"00057","সুর ভুলে যেই ঘুরে বেড়াই","দাদরা","২",17
"00058","গানের ভিতর দিয়ে যখন","দাদরা","২",17
"00059","খেলার ছলে সাজিয়ে আমার","কাহারবা","১",21
"00060","যতখন তুমি আমায় বসিয়ে রাখ বাহির-বাটে","দাদরা","২",21
"00061","আমার যে গান তোমার পরশ","দাদরা","২",21
"00062","গানের ঝর্র্নাতলায় তুমি","দাদরা","২",19
"00064","আমার ঢালা গানের ধারা","ষষ্ঠী(২/৪)","২",17
"00065","কবে আমি বাহির হলেম","দাদরা","২",21
"00066","তোমায় আমায় মিলন হবে","দাদরা","১",17
"00067","প্রভু,   তোমার বীণা যেমনি বাজে","দাদরা","২",24
"00068","তুমি একলা ঘরে বসে বসে","তিনতালা","১",24
"00069","শধু তোমার বাণী নয় গো, হে বন্ধু, হে প্রিয়","তালমুক্ত","১",15
"00071","মোর হৃদয়ের গোপন বিজন ঘরে","দাদরা","২",17
"00072","মোর প্রভাতের এই প্রথম --","দাদরা","২",20
"00073","মালা হতে খসে-পড়া ফুলের","দাদরা","২",17
"00074","এত আলো জ্বালিয়েছ এই গগনে","দাদরা","২",21
"00075","কার হাতে এই মালা তোমার","কাহারবা","২",21
"00076","বল তো এই বারের মতো","দাদরা","২",21
"00078","ধীরে বন্ধু,গো,ধীরে ধীরে","অখন্ড ৬ মাত্রা","২",15
"00079","এবার আমায় ডাকলে দূরে","দাদরা","২",19
"00080","দুঃখের বরষায় চক্ষের জল যেই নামল","কাহারবা","২",21
"00081","সে দিনে আপদ আমার","দাদরা","২",17
"00082","আমার হিয়ার মাঝে লুকিয়ে","দাদরা","১",24
"00083","কেন চোখের জলে ভিজিয়ে","দাদরা","২",17
"00084","আমায় বাঁধবে যদি কাজের ডোরে","কাহারবা","২",21
"00085","ওদের সাথে মেলাও যারা","দাদরা","২",26
"00086","আমার হৃদয় তোমার আপন হাতে","দাদরা","১",21
"00087","ভেঙে মোর ঘরের চাবি","দাদরা","১",17
"00088","তোমায় কিছু দেব ব'লে চায় যে আমার মন","তিনতালা","১",26
"00089","আমার অভিমানের বদলে ----","দাদরা","২",21
"00090","তুমি খুশি থাকো","দাদরা","২",21
"00091","আমার সকল রসের ধারা","তিনতালা","১",21
"00092","রাত্রি এসে যেথায় মেশে","দাদরা","১",25
"00093","আমার খেলা যখন ছিল তোমার চরন সনে","দাদরা","২",21
"00094","সীমার  মাঝে অসীম তুমি","দাদরা","১",17
"00095","আজি যত তারা তব আকাশে","কাওয়ালি(৪/৪)","২",21
"00096","আমি কেমন করিয়া জানাব","একতালা","১",17
"00097","তুমি বন্ধু তুমি নাথ","একতালা","১",17
"00098","ও অকূলের কূল","একতালা","১",17
"00099","আমার মাঝে তোমারি মায়া","দাদরা","২",18
"00100","ভুলে যাই","দাদরা(৩/৩)","২",17
"00101","তোমার এই মাধুরী ছাপিয়ে আকাশ ঝরবে,","একতালা","১",21
"00102","এরে ভিখারি সাজায়ে","দাদরা","২",17
"00103","আপনাকে এই জানা আমার","দাদরা","২",17
"00104","তুমি যে এসেছ মোর ভবনে","দাদরা","২",21
"00105","তুমি যে চেয়ে আছ","দাদরা","২",17
"00107","অসীম ধন তো আছে তোমার","দাদরা","১",21
"00108","যদি    আমায় তুমি বাঁচাও, তবে","দাদরা","২",21
"00109","যিনি সকল কাজের কাজী","দাদরা","২",20
"00110","আমরা তারেই জানি","দাদরা","১",17
"00111","যা হবার তা হবে","দাদরা","২",28
"00113","হে মোর দেবতা","দাদরা","১",17
"00116","সভায়  তোমার থাকি সবার শাসনে","দাদরা","২",21
"00117","তোমার প্রেমে ধন্য কর যারে","তেওড়া","২",21
"00118","লুকিয়ে আস আঁধার রাতে","কাহারবা","২",21
"00119","তুমি কি এসেছ মোর দ্বারে","কাহারবা","১",21
"00122","ধায় যেন মোর সকল ভালোবাসা","দাদরা","২",17
"00126","গাব তোমার সুরে দাও সে বীনা যন্ত্র","দাদরা","২",17
"00128","বাজাও আমারে বাজাও","দাদরা","২",21
"00129","তুমি যত ভার দিয়েছ সে ভার","একতালা","১",21
"00131","যদি এ আমার হৃদয়দুয়ার","ঝাঁপ","১",15
"00132","তোমারি রাগিণী জীবনকুঞ্জে","তেওড়া","১",21
"00133","চরণ ধরিতে দিয়ো গো আমারে","অর্ধঝাঁপ","২",17
"00134","তোমারি নাম বলব নানা ছলে","ত্রিতাল(৪/৪/৪/৪)","১",21
"00135","আমার এ ঘরে আপনার করে","তিনতালা","১",21
"00136","সংসারে তুমি রাখিলে মোরে যে ঘরে","ঝাঁপ","১",15
"00137","আমার মুখের কথা তোমার","দাদরা","১",17
"00138","প্রাণ ভরিয়ে তৃষা হরিয়ে","দাদরা","২",20
"00139","বল দাও মোরে বল দাও","একতালা","১",21
"00140","অন্তর মম বিকশিত করো","একতালা","১",19
"00141","আমার বিচার তুমি করো তব","তেওড়া","১",24
"00142","তোমারি ইচ্ছা হউক পূর্ণ","একতালা","১",21
"00144","হে মহাজীবন, হে মহামরণ","কাহারবা","১",21
"00145","পথে যেতে ডেকেছিলে মোরে","কাহারবা","২",21
"00146","দুয়ারে দাও মোরে রাখিয়া","একাদশী","১",16
"00147","ধনে জনে আছি জড়ায়ে","দাদরা","১",17
"00148","তোমারি সেবক করো হে","দাদরা","১",19
"00149","তুমি এবার আমায় লহো হে নাথ,","দাদরা","২",24
"00150","হৃদয়ে তোমার দয়া যেন পাই","দাদরা","১",26
"00151","ভুবনেশ্বর হে","একতালা","১",21
"00153","ভয় হতে  তব অভয়মাঝে","দাদরা","১",19
"00154","পাদ প্রান্তে রাখ' সেবকে,","একতালা","১",19
"00155","বরিষ ধরা-মাঝে শান্তির বারি","তিনতালা","১",25
"00156","সার্থক কর সাধন","দাদরা","১",17
"00157","আমার মিলন লাগি তুমি","দাদরা","২",24
"00158","কোথায় আলো, কোথায় ওরে আলো","ঝম্পক","১",15
"00159","তোরা শুনিস নি কি শুনিস নি তার পায়ের ধ্বনি,","যৎ(৩/৪/৩/৪)","১",24
"00161","তোমার পূজার ছলে","দাদরা","৩",25
"00162","নীরবে আছ কেন বাহির দুয়ারে","তেওড়া","১",21
"00163","তোমার আমার এই বিরহের","দাদরা","১",17
"00164","নিশা অবসানে কে দিল","দাদরা","১",17
"00166","যে দিন ফুটল কমল কিছুই","দাদরা","২",24
"00168","যদি তোমার দেখা না পাই,","দাদরা","১",21
"00170","আমার গোধূললিলগন এল বুঝি কাছে","দাদরা","২",17
"00171","নাই বা ডাকো রইব তোমার দ্বারে","দাদরা","২",17
"00172","সকাল-সাঁজে  ধায় যে ওরা","দাদরা","২",23
"00173","জগত জুড়ে উদার সুরে","দাদরা","২",21
"00174","কোন্ শুভখনে উদিবে নয়নে","একতালা","১",17
"00175","আজ জ্যোৎস্নারাতে সবাই গেছে বনে","দাদরা","২",21
"00176","তুমি এ-পার ও-পার কর কে গো ওগো খেয়ার নেয়ে?","দাদরা","২",17
"00177","বেলা গেলে তোমার পথ চেয়ে","একতালা","১",21
"00178","তোর ভিতরে জাগিয়া কে যে","দাদরা","১",17
"00179","তুমি বাহির থেকে দিলে","দাদরা","২",20
"00180","এখনো গেল না আঁধার","তিনতালা","১",21
"00181","লক্ষ্মী যখন আসবে তখন কোথায় তারে দিবি রে ঠাঁই  - সুরান্তর","দাদরা","২",19
"00182","যেতে যেতে চায় না যেতে, ফিরে ফিরে চায়","ঝাঁপ","১",15
"00183","বেসুর বাজে রে","দাদরা","২",25
"00184","আমার কন্ঠ তাঁরে ডাকে","দাদরা","১",24
"00186","ক্লান্তি আমার ক্ষমা করো প্রভু,","দাদরা","২",17
"00187","অগ্নিবীণা বাজাও তুমি কেমন","তেওড়া","২",21
"00188","পথ চেয়ে যে কেটে গেল কত দিনে রাতে","আড়াঠেকা","১",26
"00189","সন্ধ্যা হল গো, ও মা","দাদরা","১",17
"00190","তুমি ডাক দিয়েছ","দাদরা","১",19
"00192","সকল জনম ভরে","তালমুক্ত","১",20
"00193","আমার ব্যথা যখন আনে আমায়","দাদরা","১",20
"00194","যতবার আলো জ্বালাতে চাই,","একতালা(৩/৩/৩/৩)","১",17
"00195","আবার এরা ঘিরেছে মোর মন","ঝম্পক","৩",25
"00196","তুমি নব নব রূপে এসো","তিনতালা","১",24
"00197","হৃদয়নন্দনবনে নিভৃত এ নিকেতনে","ঝাঁপ","১",20
"00198","বসে আছি হে কবে শুনিব","একতালা","১",19
"00199","ডাকিছ শুনি জাগিনু প্রভু","একতালা","১",19
"00201","আজি মম মন চাহে জীবনবন্ধুরে","দাদরা","১",19
"00202","আমার মন তুমি নাথ, লবে হ'রে","ঝাঁপ","১",20
"00203","ঘাটে বসে আছি আনমনা","একতালা","১",17
"00204","এই মলিন বস্ত্র ছাড়তে হবে","দাদরা","১",17
"00205","নিবিড় ঘন আঁধারে","নবতাল","১",27
"00206","প্রতিদিন তব গাথা গাব আমি সুমধুর","সুরফাঁক","১",14
"00208","প্রতিদিন আমি হে জীবনস্বামী","ঝাঁপ","১",17
"00209","জাগিতে হবে রে","চৌতাল(২/২/২/২/২/২)","১",19
