misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,স,s,,প্র,1,,
,সম,s+m,,থ ৹,2,,
,ম,m,,ম,1,,
,|,|,,,0,,
,ম,m,,আ,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,লো,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,চ,1,,
,ম,m,,র,1,,
,প,p,,ণ,1,,
,|,|,,,0,,
,মপ,m+p,,ধ্ব ৹,2,,
,-মণ,-m+N,,৹ ৹,2,,
,-দপ,-D+p,,৹ ৹,2,,
,|,|,,,0,,
,মজ্ঞ,m+G,,নি ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,জ্ঞ,G,,উ,1,,
,-রম,-r+m,,৹ ঠ্,2,,
,ম,m,,ল,1,,
,|,|,,,0,,
,মজ্ঞ,m+G,,বে‍ ৹,2,,
,ঋ,R,,জে,1,,
,-জ্ঞঋ,-G+R,,৹ ৹,2,,
,|,|,,,0,,
,^ঋস,^R+s,,যে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,ই,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,BEGIN,নী,1,,
,-দ,-D,END,ড়্,1,,
,দ,D,,বি,1,,
,|,|,,,0,,
,দ,D,,রা,1,,
,প,p,,গী,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,^দপ,^D+p,,হৃ,1,,
,প,p,,দ,1,,
,-,-,,য়্,1,,
,|,|,,,0,,
,প,p,,আ,1,,
,হ্মপ,M+p,BEGIN,মা ৹,2,,
,-জ্ঞ,-G,END,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,উ,1,,
,প,p,BEGIN,ধা,1,,
,-দ,-D,END BEGIN,৹,1,,
,|,|,CONTINUE,,0,,
,-ণ,-N,END,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-প,-p,BEGIN,৹,1,,
,-ণ,-N,END,৹,1,,
,-^ণদ,-^N+D,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-প,-p,BEGIN,৹,1,,
,-ম,-m,END,ও,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,মপ,m+p,,উ ৹,2,,
,প,p,BEGIN,ধা,1,,
,-ম,-m,END,ও,1,,
,|,|,,,0,,
,জ্ঞ,G,,হ,1,,
,জ্ঞ,G,BEGIN,ল,1,,
,-র,-r,END,৹,1,,
,|,|,,,0,,
,মজ্ঞ,m+G,,সে ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-ঋ,-R,BEGIN,৹,1,,
,-স,-s,END,ই,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,স',s',BEGIN,নী,1,,
,-জ্ঞ',-G',END,ল্,1,,
,জ্ঞ',G',,অ,1,,
,|,|,,,0,,
,^জ্ঞ'ঋ',^G'+R',,ত,1,,
,ঋ',R',,লে,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,স',s',,কো,1,,
,স',s',,থা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স'ণ,s'+N,,থে ৹,2,,
,স',s',,কে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ণস',N+s',,উ ৹,2,,
,^স'দ,^s'+D,,দা,1,,
,-,-,,স্,1,,
,|,|,,,0,,
,ণ,N,,তা,1,,
,স',s',BEGIN,রে,1,,
,-ঋ',-R',END,৹,1,,
,|,|,,,0,,
,^ঋ'ণ,^R'+N,,ক,1,,
,-,-,,র্,1,,
,ণজ্ঞ',N+G',,ল ৹,2,,
,|,|,,,0,,
,^জ্ঞ'ঋ',^G'+R',,যে,1,,
,স',s',,কে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-দ,-D,,৹,1,,
,-ণ,-N,,৹,1,,
,-স',-s',,৹,1,,
,|,|,,,0,,
,-ঋ'@,-R',,৹,1,,
,-জ্ঞ',-G',,৹,1,,
,-ঋ',-R',,৹,1,,
,|,|,,,0,,
,-^ঋ'স',-^R'+s',,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স'জ্ঞ',s'+G',,গো ৹,2,,
,জ্ঞ',G',,‍প,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,বা,1,,
,জ্ঞ',G',,সী,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,সে,1,,
,-,-,,ই,1,,
,জ্ঞ',G',,উ,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,দা,1,,
,ম'জ্ঞ',m'+G',,সী ৹,2,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,দ,D,,ঠি,1,,
,-,-,,ক্,1,,
,দ,D,,ঠি,1,,
,|,|,,,0,,
,ণ,N,,কা,1,,
,স',s',BEGIN,না,1,,
,-র',-r',END,৹,1,,
,|,|,,,0,,
,র',r',BEGIN,নে,1,,
,-জ্ঞ',-G',END,৹,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,স,s,,সু,1,,
,-,-,,প্,1,,
,দ,D,,তি,1,,
,|,|,,,0,,
,দ,D,,শ,1,,
,^দপ,^D+p,,য়,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,প,p,BEGIN,আ,1,,
,-স',-s',END,য়্,1,,
,^স'ণ,^s'+N,,ছে,1,,
,|,|,,,0,,
,দ,D,,ড়ে,1,,
,দ,D,BEGIN,আ,1,,
,-প,-p,END,য়্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^পম,^p+m,BEGIN,আ,1,,
,-,-,CONTINUE,৹,1,,
,-প,-p,END,য়্,1,,
,|,|,,,0,,
,^পম,^p+m,,আ,1,,
,-,-,,৹,1,,
,-পদ,-p+D,,৹ য়্,2,,
,|,|,,,0,,
,মপ,m+p,,আ ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,, য়্,1,,CHECK
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
