"","name","taal","m"
"00003","নিশীথশয়নে ভেবে রাখি মনে, ওগো অন্তরযামী","তেওরা","তেওড়া"
"00005","জাগ' জাগ' রে জাগ' সঙ্গীত","তেওরা","দাদরা"
"00011","প্রভু আমার, প্রিয় আমার পরম ধন হে","একতাল","দাদরা"
"00017","বিশ্ব যখন নিদ্রামগন গগন অন্ধকার","একতাল","দাদরা"
"00018","জীবন যখন শুকায়ে যায় করুণাধারায় এসো","একতাল","দাদরা"
"00019","যা হারিয়ে যায় তা আগলে ব'সে রইব কত আর","একতাল","দাদরা"
"00020","নিভৃত প্রাণের দেবতা যেখানে জাগেন একা","একতাল","দাদরা"
"00022","এমন দিনে তারে বলা যায়","রূপক","তালমুক্ত"
"00026","একটুকু ছোঁওয়া লাগে","দাদরা","অখন্ড ৬ মাত্রা"
"00036","পথে চলে যেতে যেতে কোথা কোন্‌খানে","অর্ধঝাঁপ","অর্দ্ধঝাঁপ"
"00043","তোমার নয়ন আমায় বারে বারে বলেছে গান গাহিবারে॥","খেমটা/ষষ্ঠী","দাদরা"
"00047","জীবনমরণের সীমানা ছাড়ায়ে","রূপকড়া","দাদরা"
"00051","কেন তোমরা আমায় ডাকো, আমার মন না মানে।","কাহারবা","দাদরা"
"00052","দাঁড়িয়ে আছ তুমি আমার গানের ওপারে","ত্রিতাল","দাদরা"
"00053","রাজপুরীতে বাজায় বাঁশি বেলাশেষের তান।","ত্রিতাল","তিনতালা"
"00055","আমি হেথায় থাকি শুধু গাইতে তোমার গান","তেওরা","তেওড়া"
"00065","কবে আমি বাহির হলেম তোমারি গান গেয়ে--","তেওরা","দাদরা"
"00066","তোমায় আমায় মিলন হবে ব'লে আলোয় আকাশ ভরা।","একতাল","দাদরা"
"00067","প্রভু, তোমার বীণা যেমনি বাজে","তেওরা","দাদরা"
"00068","তুমি একলা ঘরে ব'সে ব'সে কী সুর বাজালে","ত্রিতাল","তিনতালা"
"00069","শুধু তোমার বাণী নয় গো, হে বন্ধু, হে প্রিয়","ঝাঁপতাল (বা মুক্তছন্দ)","তালমুক্ত"
"00074","এত আলো জ্বালিয়েছ এই গগনে","কাহারবা","দাদরা"
"00076","বল তো এইবারের মতো","কাহারবা","দাদরা"
"00078","ধীরে বন্ধু, ধীরে ধীরে","দাদরা","অখন্ড ৬ মাত্রা"
"00082","আমার হিয়ার মাঝে লুকিয়ে ছিলে দেখতে আমি পাই নি।","একতাল","দাদরা"
"00085","ওদের সাথে মেলাও যারা চরায় তোমার ধেনু","কাহারবা","দাদরা"
"00088","তোমায় কিছু দেব ব'লে চায় যে আমার মন","ত্রিতাল","তিনতালা"
"00091","আমার সকল রসের ধারা","ত্রিতাল","তিনতালা"
"00092","রাত্রি এসে যেথায় মেশে দিনের পারাবারে","ত্রিতাল বা একতাল","দাদরা"
"00094","সীমার মাঝে, অসীম, তুমি বাজাও আপন সুর--","একতাল","দাদরা"
"00095","আজি যত তারা তব আকাশে","ত্রিতাল","কাওয়ালি(৪/৪)"
"00107","অসীম ধন তো আছে তোমার, তাহে সাধ না মেটে।","একতাল","দাদরা"
"00111","যা হবার তা হবে।","কাহারবা","দাদরা"
"00113","হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ","একতাল","দাদরা"
"00117","তোমার প্রেমে ধন্য কর যারে সত্য ক'রে পায় সে আপনারে॥","তেওরা","তেওড়া"
"00122","ধায় যেন মোর সকল ভালোবাসা","ঝম্পক","দাদরা"
"00128","বাজাও আমারে বাজাও","তেওরা","দাদরা"
"00132","তোমারি রাগিণী জীবনকুজ্ঞে বাজে যেন সদা বাজে গো।","তেওরা","তেওড়া"
"00135","আমার এ ঘরে আপনার করে গৃহদীপখানি জ্বালো হে।","ত্রিতাল","তিনতালা"
"00137","আমার মুখের কথা তোমার নাম দিয়ে দাও ধুয়ে","একতাল","দাদরা"
"00141","আমার বিচার তুমি করো তব আপন করে।","তেওরা","তেওড়া"
"00147","ধনে জনে আছি জড়ায়ে হায়","একতাল","দাদরা"
"00148","তোমারি সেবক করো হে আজি হতে আমারে॥","চৌতাল","দাদরা"
"00150","হৃদয়ে তোমার দয়া যেন পাই।","ত্রিতাল","দাদরা"
"00153","ভয় হতে তব অভয়মাঝে নূতন জনম দাও হে॥","চৌতাল","দাদরা"
"00155","বরিষ ধরা-মাঝে শান্তির বারি","ত্রিতাল","তিনতালা"
"00157","আমার মিলন লাগি তুমি আসছ কবে থেকে","তেওরা","দাদরা"
"00159","তোরা শুনিস নি কি শুনিস নি তার পায়ের ধ্বনি","তেওরা","যৎ(৩/৪/৩/৪)"
"00162","নীরবে আছ কেন বাহিরদুয়ারে--","তেওরা","তেওড়া"
"00163","তোমার আমার এই বিরহের অন্তরালে","অর্ধঝাঁপ","দাদরা"
"00166","যে দিন ফুটল কমল কিছুই জানি নাই","তেওরা","দাদরা"
"00168","যদি তোমার দেখা না পাই, প্রভু, এবার এ জীবনে","একতাল","দাদরা"
"00172","সকাল-সাঁজে","কাহারবা","দাদরা"
"00173","জগত জুড়ে উদার সুরে আনন্দগান বাজে","তেওরা","দাদরা"
"00175","আজ জ্যোৎস্নারাতে সবাই গেছে বনে","তেওরা","দাদরা"
"00180","এখনো গেল না আঁধার, এখনো রহিল বাধা।","ত্রিতাল","তিনতালা"
